Account address,Show boosts,Notify on new posts,Languages,Display name,Bio,Local URL,URL,Local URL,Avatar URL
threddy@infosec.exchange,true,false,,Threddy Rex,"<p>comics • programming • gaming • parenthood • guitar • pnw • swe @ msft • cis/het, he/him</p>",https://infosec.exchange/@threddy,https://infosec.exchange/@threddy,https://infosec.exchange/@threddy,https://media.infosec.exchange/infosec.exchange/accounts/avatars/111/404/612/174/922/800/original/fa49db1cf5d923d3.png
JamesGleick@zirk.us,true,false,,James Gleick,"<p>Author. <br>Chaos, Genius, The Information, Time Travel.</p>",https://infosec.exchange/@JamesGleick@zirk.us,https://zirk.us/@JamesGleick,https://infosec.exchange/@JamesGleick@zirk.us,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/559/238/450/367/385/original/89dedf5abf558351.jpg
ZachWeinersmith@mastodon.social,true,false,,Zach Weinersmith,<p>The SMBC guy. <br>New book: A City on Mars (Nov 2)</p><p>Co-author of Soonish<br>Illustrator of Open Borders<br>Scop of Bea Wolf.</p>,https://infosec.exchange/@ZachWeinersmith@mastodon.social,https://mastodon.social/@ZachWeinersmith,https://infosec.exchange/@ZachWeinersmith@mastodon.social,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/523/471/139/232/433/original/771b968348de2a4c.png
kmccoy@spacey.space,true,false,,Kevin McCoy,"<p>Me: Sound technician, IATSE stagehand, atheist/skeptic, nerd. Pronouns: He/him. This feed: Theatre, space, political rants, bad jokes</p>",https://infosec.exchange/@kmccoy@spacey.space,https://spacey.space/@kmccoy,https://infosec.exchange/@kmccoy@spacey.space,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/516/245/009/380/560/original/c7b8ed9f7c1b1fb3.jpg
lolennui@mstdn.social,true,false,,Amy,"<p>crying doing 1979 at karaoke <a href=""https://beacons.ai/amyy"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">beacons.ai/amyy</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@lolennui@mstdn.social,https://mstdn.social/@lolennui,https://infosec.exchange/@lolennui@mstdn.social,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/486/390/727/839/783/original/fbeb0c8a5337b740.png
mokumphoto@mastodon.nl,true,false,,Photography by Jouko,"<p>Photographer-Web and Print Designer Amsterdam-San Francisco-Amsterdam<br>Toots in English and Dutch I never was on Twitter I shoot wildlife, people and events.</p>",https://infosec.exchange/@mokumphoto@mastodon.nl,https://mastodon.nl/@mokumphoto,https://infosec.exchange/@mokumphoto@mastodon.nl,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/483/017/468/511/898/original/cae5f79bb82a49e9.jpg
oatmeal@mastodon.social,true,false,,The Oatmeal,<p>I make comics</p>,https://infosec.exchange/@oatmeal@mastodon.social,https://mastodon.social/@oatmeal,https://infosec.exchange/@oatmeal@mastodon.social,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/377/923/432/162/108/original/64364f93529b5ad4.png
JaggedAuthor@mastodon.world,true,false,,The Card,<p>Creator of a depressing comic strip. Liver of a depressing life. Writer of depressing bios.</p>,https://infosec.exchange/@JaggedAuthor@mastodon.world,https://mastodon.world/@JaggedAuthor,https://infosec.exchange/@JaggedAuthor@mastodon.world,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/376/456/943/772/984/original/9473fe712d380852.png
JeriLRyan@mastodon.world,true,false,,JeriLRyan,"<p>Actress, wife, mom, foodie, and gardener. Not necessarily in that order. <br>Was a binge-tweeter. So, let’s try this out…!<br>Instagram.com/jerilryan/</p>",https://infosec.exchange/@JeriLRyan@mastodon.world,https://mastodon.world/@JeriLRyan,https://infosec.exchange/@JeriLRyan@mastodon.world,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/372/226/009/758/866/original/dd4502b5cb61c245.jpeg
LincolnsBible@social.snorklr.com,true,false,,"Stephanie ""LB"":snorklr:","<p>Writer/Creator/Producer of things heard and unheard, seen and unseen. <br>Not a spy (or a bible).<br><a href=""https://social.snorklr.com/tags/snorklr"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>snorklr</span></a></p>",https://infosec.exchange/@LincolnsBible@social.snorklr.com,https://social.snorklr.com/@LincolnsBible,https://infosec.exchange/@LincolnsBible@social.snorklr.com,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/109/366/594/852/159/603/original/0b02441b07b71045.png
