Account address,Show boosts,Notify on new posts,Languages,Display name,Bio,Local URL,URL,Local URL,Avatar URL
jmcleod@mastodon.au,true,false,,MilennialZero,"<p>Living on unceded Wurundjeri land. Born on land belonging to the Cherokee. Naarm (Melbourne) is all I need. Retired enterprise architect, whatever that was. Cyclist (gravel preferred). Capitalism will kill us all. Interested in semiotics, whatever that is. Atheist. Social Democrat. Labor voter. ENTP. Love science. Stream MUBI. Observing the end of the Anthropocene with interest. Tends to be excessively analytical. The unexamined life is not worth living. Everything is political. Everything.</p>",https://infosec.exchange/@jmcleod@mastodon.au,https://mastodon.au/@jmcleod,https://infosec.exchange/@jmcleod@mastodon.au,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/814/263/557/803/958/original/646d579c0f72de33.jpg
VOANews@mastodon.social,true,false,,Voice of America,<p>Your source for news and information from around the world</p>,https://infosec.exchange/@VOANews@mastodon.social,https://mastodon.social/@VOANews,https://infosec.exchange/@VOANews@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/535/917/780/738/745/original/e3e2206b7c1a2144.png
Buzzfeedben@mastodon.social,true,false,,Ben Smith,<p>Semafor editor-in-chief</p>,https://infosec.exchange/@Buzzfeedben@mastodon.social,https://mastodon.social/@Buzzfeedben,https://infosec.exchange/@Buzzfeedben@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/525/428/944/487/346/original/40964d8d9336ddf6.png
gwbstr@cybervillains.com,true,false,,Graham Webster,"<p>Chinese tech policy, US-China relations, etc., at Stanford Cyber Policy Center; Editor, DigiChina Project</p>",https://infosec.exchange/@gwbstr@cybervillains.com,https://cybervillains.com/@gwbstr,https://infosec.exchange/@gwbstr@cybervillains.com,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/524/604/444/658/561/original/106875b66efee1a8.jpg
benb@osintua.eu,true,false,,BenB,"<p>News aggregation tracking the 🇷🇺 War against Ukraine 🇺🇦 </p><p>Devops <a href=""https://osintukraine.com"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">osintukraine.com</span><span class=""invisible""></span></a> | Good Trouble | Social Justice | Climate | Human Rights </p><p>OSINTukraine project :<br>Automated DeepL Translations from telegram &amp; Telegram war archive. </p><p>I run <span class=""h-card""><a href=""https://0sint.social/@osintukraine"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>osintukraine</span></a></span> public output <span class=""h-card""><a href=""https://osintua.eu/@uavideos"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>uavideos</span></a></span> <span class=""h-card""><a href=""https://osintua.eu/@ua"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>ua</span></a></span> and <span class=""h-card""><a href=""https://osintua.eu/@ruvideos"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>ruvideos</span></a></span> <span class=""h-card""><a href=""https://osintua.eu/@ru"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>ru</span></a></span> </p><p><a href=""https://osintua.eu/tags/osint"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>osint</span></a> <a href=""https://osintua.eu/tags/Ukraine"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Ukraine</span></a> <a href=""https://osintua.eu/tags/Russia"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Russia</span></a></p><p>searchable</p>",https://infosec.exchange/@benb@osintua.eu,https://osintua.eu/@benb,https://infosec.exchange/@benb@osintua.eu,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/523/303/662/506/532/original/9dc1926e0d911fc9.jpg
newz@mas.to,true,false,,World News Feeds 🇺🇦,"<p>World <a href=""https://mas.to/tags/news"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>news</span></a> feed <a href=""https://mas.to/tags/bot"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>bot</span></a>, from <a href=""https://mas.to/tags/BBC"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BBC</span></a>, <a href=""https://mas.to/tags/aljazeera"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>aljazeera</span></a> <a href=""https://mas.to/tags/AP"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AP</span></a>, <a href=""https://mas.to/tags/Reuters"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Reuters</span></a>, <a href=""https://mas.to/tags/guardian"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>guardian</span></a>, <a href=""https://mas.to/tags/DW"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>DW</span></a>. Update hourly.</p>",https://infosec.exchange/@newz@mas.to,https://mas.to/@newz,https://infosec.exchange/@newz@mas.to,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/453/571/909/601/067/original/aed86798bb6489d9.png
signalapp@mastodon.world,true,false,,Signal,"<p>Signal is an end-to-end encrypted messaging app. Privacy isn’t an optional mode, it’s just the way that Signal works. Every message, every call, every time. </p><p>Signal is independent and not for profit; a different kind of tech from a different kind of organization.</p><p><a href=""https://signal.org/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">signal.org/</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@signalapp@mastodon.world,https://mastodon.world/@signalapp,https://infosec.exchange/@signalapp@mastodon.world,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/366/312/797/180/392/original/8d10999395fef239.jpeg
Tendar@newsie.social,true,false,,Tendar,"<p>Tyrants are my enemies | Si vis pacem para bellum |🇩🇪| Das Böse triumphiert allein dadurch, dass gute Menschen nichts unternehmen | Reporting on Ukraine, Syria and the Balkans. | I don't grow up, I just grow old.</p>",https://infosec.exchange/@Tendar@newsie.social,https://newsie.social/@Tendar,https://infosec.exchange/@Tendar@newsie.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/362/692/022/886/589/original/c10057618d7a259d.png
paulisci@mstdn.ca,true,false,,Paul Fairie,"<p>Threads (Pre-order my book, The Press Gallery!), jokes.</p><p>Researcher, instructor, volunteer.</p>",https://infosec.exchange/@paulisci@mstdn.ca,https://mstdn.ca/@paulisci,https://infosec.exchange/@paulisci@mstdn.ca,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/323/310/677/483/758/original/a6a39e8ffb15e369.png
EugeneMcParland@mastodon.ie,true,false,,Eugene McParland 🇺🇦,"<p>""Wise men learn more from fools than fools from the wise.“ — Cato the Elder</p>",https://infosec.exchange/@EugeneMcParland@mastodon.ie,https://mastodon.ie/@EugeneMcParland,https://infosec.exchange/@EugeneMcParland@mastodon.ie,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/321/148/097/083/762/original/1c0880880620a12d.jpg
erosalie@infosec.exchange,true,false,,E Rosalie :verified:,<p>Public health + national security | Johns Hopkins alum | COVID19Tracking alum | Tracking medical misinfo 💉 and information disorder</p>,https://infosec.exchange/@erosalie,https://infosec.exchange/@erosalie,https://infosec.exchange/@erosalie,https://media.infosec.exchange/infosecmediaeu/accounts/avatars/109/316/938/934/089/780/original/6bb2f2e0d1ded004.jpg
uanews@fed.celp.de,true,false,,uanews,"<p>Continuously mirroring tweets from a curated list of &gt; 100 twitter accounts who focus on the russian invasion.</p><p>Content Warning: images and videos can contain disturbing material</p><p>See <a href=""https://www.celp.de/uanews"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class="""">celp.de/uanews</span><span class=""invisible""></span></a><br>for the complete list of accounts.</p><p>Comments,suggestions, complaints to <span class=""h-card""><a href=""https://freeradical.zone/@lp"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>lp</span></a></span></p>",https://infosec.exchange/@uanews@fed.celp.de,https://fed.celp.de/@uanews,https://infosec.exchange/@uanews@fed.celp.de,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/307/517/280/601/299/original/c49b3310e03c73a8.png
zacrellin@journa.host,true,false,,Zac Crellin,<p>World news journo at DW News</p>,https://infosec.exchange/@zacrellin@journa.host,https://journa.host/@zacrellin,https://infosec.exchange/@zacrellin@journa.host,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/304/037/740/624/544/original/4b64fb6e096e849b.jpeg
Bellingcat@mstdn.social,true,false,,Bellingcat,"<p>Want to support our charity? <a href=""http://bellingcat.com/donate/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">bellingcat.com/donate/</span><span class=""invisible""></span></a></p><p>Buy our book ""We Are Bellingcat"" here: <a href=""http://bit.ly/2EP09EN"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">bit.ly/2EP09EN</span><span class=""invisible""></span></a></p><p>Our award-winning podcast series: <a href=""http://apple.co/36LJURI"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">apple.co/36LJURI</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@Bellingcat@mstdn.social,https://mstdn.social/@Bellingcat,https://infosec.exchange/@Bellingcat@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/303/191/504/446/267/original/d1b64d3d623de7d0.png
derekbarry@aus.social,true,false,,Derek Barry,<p>Writer of little note. www.woollydays.wordpress.com</p>,https://infosec.exchange/@derekbarry@aus.social,https://aus.social/@derekbarry,https://infosec.exchange/@derekbarry@aus.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/301/140/558/136/877/original/c9e111383bbca86c.png
NatSecBec@mstdn.social,true,false,,Becca,<p>Security Policy Studies @ GW</p>,https://infosec.exchange/@NatSecBec@mstdn.social,https://mstdn.social/@NatSecBec,https://infosec.exchange/@NatSecBec@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/291/993/029/149/968/original/9dd25df08ea32e67.png
ABateman@toot.community,true,false,,Aaron Bateman,"<p>Assist. prof. @ George Washington University | Space Policy Institute | PhD @Johns Hopkins University | Former US Air Force | <a href=""https://toot.community/tags/Cold"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Cold</span></a> War | Transatlantic relations| <a href=""https://toot.community/tags/Intelligence"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Intelligence</span></a> | <a href=""https://toot.community/tags/Tech"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Tech</span></a> history| <a href=""https://toot.community/tags/Space"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Space</span></a> 🚀| my views </p>",https://infosec.exchange/@ABateman@toot.community,https://toot.community/@ABateman,https://infosec.exchange/@ABateman@toot.community,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/291/878/389/307/824/original/c173516f92559ed1.png
maxWSmeets@infosec.exchange,true,false,,Max Smeets,"<p>Senior Researcher ETH Zurich, Director European Cyber Conflict Research Initiative</p><p>Author of No Shortcuts: Why States Struggle to Develop a Military Cyber-Force- shorturl.at/kMNZ9</p>",https://infosec.exchange/@maxWSmeets,https://infosec.exchange/@maxWSmeets,https://infosec.exchange/@maxWSmeets,https://media.infosec.exchange/infosecmediaeu/accounts/avatars/109/291/582/521/565/657/original/374b7b6898d586e9.jpg
jon@gruene.social,true,false,,Jon Worth,"<p>Toots auf EN und DE.</p><p>Kandidat für die Europaliste der deutschen Grünen.</p><p>Ich schreibe über Eisenbahnen und setze mich für die Verbesserung von <a href=""https://gruene.social/tags/CrossBorderRail"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>CrossBorderRail</span></a> in Europa ein. Toots kann auch Flussdiagramme und Eiffeltürme enthalten. Wohne in Berlin, reist aber wahrscheinlich irgendwo in einem Zug.</p>",https://infosec.exchange/@jon@gruene.social,https://gruene.social/@jon,https://infosec.exchange/@jon@gruene.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/264/163/700/635/276/original/6623de108d78529d.jpeg
andrewstroehlein@mastodon.social,true,false,,Andrew Stroehlein,"<p>European Media and Editorial Director, Human Rights Watch   🟦 Please read and subscribe to my daily <a href=""https://mastodon.social/tags/HumanRights"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HumanRights</span></a> newsletter: <a href=""https://www.hrw.org/the-day-in-human-rights"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">hrw.org/the-day-in-human-right</span><span class=""invisible"">s</span></a>   🟦 Human Rights Watch: <a href=""https://mastodon.online/@humanrightswatch"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">mastodon.online/@humanrightswa</span><span class=""invisible"">tch</span></a></p>",https://infosec.exchange/@andrewstroehlein@mastodon.social,https://mastodon.social/@andrewstroehlein,https://infosec.exchange/@andrewstroehlein@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/256/019/648/983/719/original/8dd84a94e5b09473.jpeg
EU_Commission@social.network.europa.eu,true,false,,European Commission,"<p>News and information from the European Commission. </p><p>Part of an EU pilot project for supporting and using social media platforms based on open-source software. </p><p>🇪🇺 Official Mastodon account, as verified by: </p><p>• The official EU domain in our server’s address: <a href=""https://europa.eu"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">europa.eu</span><span class=""invisible""></span></a></p><p>• The European Union social media directory: <a href=""https://europa.eu/!cqPgxB"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">europa.eu/!cqPgxB</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@EU_Commission@social.network.europa.eu,https://social.network.europa.eu/@EU_Commission,https://infosec.exchange/@EU_Commission@social.network.europa.eu,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/108/199/459/561/031/441/original/7ace096d57068d6a.png
