Account address,Show boosts,Notify on new posts,Languages,Display name,Bio,Local URL,URL,Local URL,Avatar URL
davidpierce@mastodon.social,true,false,,David Pierce,<p>Editor-at-large at The Verge. Wearer of sweatpants. Drinker of coffee.</p>,https://infosec.exchange/@davidpierce@mastodon.social,https://mastodon.social/@davidpierce,https://infosec.exchange/@davidpierce@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/110/305/095/731/549/200/original/9faa4000c2b4add0.jpg
arstechnica@mastodon.social,true,false,,Ars Technica,"<p>Original news, reviews, analysis of tech trends, and expert advice on the most fundamental aspects of tech.</p><p>Official Ars Technica account. 🟠</p>",https://infosec.exchange/@arstechnica@mastodon.social,https://mastodon.social/@arstechnica,https://infosec.exchange/@arstechnica@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/110/271/386/454/330/109/original/62bce24edbc9120b.png
themarkup@mastodon.themarkup.org,true,false,,The Markup,<p>Watching Big Tech.</p>,https://infosec.exchange/@themarkup@mastodon.themarkup.org,https://mastodon.themarkup.org/@themarkup,https://infosec.exchange/@themarkup@mastodon.themarkup.org,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/869/654/589/575/185/original/5c93c15c29c7ef90.png
davidtoddmccarty@me.dm,true,false,,David Todd McCarty,"<p>Writer. Journalist. Raconteur.</p><p>I live in Cape May, New Jersey, USA, where I write about politics, culture, science, history, religion and travel. I look a bit like if Hagrid ate Harry. I hate bullies no matter what side they’re on. I'm kind, until you push me. Three kids. Seven grands. Running out of f*cks.</p><p>Phillies. Eagles. Liverpool.</p><p>There are some who call me—Tim.</p>",https://infosec.exchange/@davidtoddmccarty@me.dm,https://me.dm/@davidtoddmccarty,https://infosec.exchange/@davidtoddmccarty@me.dm,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/682/983/699/826/624/original/bc3efbc364965603.jpeg
atrupar@journa.host,true,false,,Aaron Rupar,<p>independent journalist and publisher of the Public Notice newsletter</p>,https://infosec.exchange/@atrupar@journa.host,https://journa.host/@atrupar,https://infosec.exchange/@atrupar@journa.host,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/564/394/558/397/842/original/8693099723447b67.jpg
CeciliaKang@mastodon.social,true,false,,Cecilia Kang,"<p>NYT tech reporter, dipping toes slowly</p>",https://infosec.exchange/@CeciliaKang@mastodon.social,https://mastodon.social/@CeciliaKang,https://infosec.exchange/@CeciliaKang@mastodon.social,https://infosec.exchange/avatars/original/missing.png
mdelamerced@mastodon.social,true,false,,Michael de la Merced,<p>Reporter for The New York Times and DealBook</p>,https://infosec.exchange/@mdelamerced@mastodon.social,https://mastodon.social/@mdelamerced,https://infosec.exchange/@mdelamerced@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/558/881/289/652/286/original/7bbcfae283978c43.jpg
mat@journa.host,true,false,,Mat Honan,"<p>Editor in chief @ MIT Technology Review. Formerly BuzzFeed News and Wired. Hella Frisco. <span class=""h-card""><a href=""https://journa.host/@mat"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>mat</span></a></span> on the bird site.</p>",https://infosec.exchange/@mat@journa.host,https://journa.host/@mat,https://infosec.exchange/@mat@journa.host,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/549/861/581/045/241/original/3722777859800599.jpg
Shira@journa.host,true,false,,Shira Ovide,<p>writer of The Tech Friend newsletter at The Washington Post</p>,https://infosec.exchange/@Shira@journa.host,https://journa.host/@Shira,https://infosec.exchange/@Shira@journa.host,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/547/073/820/925/989/original/1ed33716fffd6827.jpg
justinpeters@journa.host,true,false,,Justin Peters,"<p>Slate correspondent, author, improviser, game show loser. Still unapologetically off topic.</p>",https://infosec.exchange/@justinpeters@journa.host,https://journa.host/@justinpeters,https://infosec.exchange/@justinpeters@journa.host,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/537/549/362/254/558/original/9b7ede6af6f8b1d0.jpeg
