Account address,Show boosts,Notify on new posts,Languages,Display name,Bio,Local URL,URL,Local URL,Avatar URL
NSA_PR@mastodon.xyz,true,false,,NSA Public Relations,"<p>NSA Public Relations. We care, we're here to listen. Obvious parody</p>",https://infosec.exchange/@NSA_PR@mastodon.xyz,https://mastodon.xyz/@NSA_PR,https://infosec.exchange/@NSA_PR@mastodon.xyz,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/536/870/413/720/887/original/309c5cb4b07d050f.png
Comey@thecooltable.wtf,true,false,,Jim Comey,<p>Ben Wittes told me to</p>,https://infosec.exchange/@Comey@thecooltable.wtf,https://thecooltable.wtf/@Comey,https://infosec.exchange/@Comey@thecooltable.wtf,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/497/831/695/553/514/original/fc44d95b7d16c201.png
signalapp@mastodon.world,true,false,,Signal,"<p>Signal is an end-to-end encrypted messaging app. Privacy isn’t an optional mode, it’s just the way that Signal works. Every message, every call, every time. </p><p>Signal is independent and not for profit; a different kind of tech from a different kind of organization.</p><p><a href=""https://signal.org/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">signal.org/</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@signalapp@mastodon.world,https://mastodon.world/@signalapp,https://infosec.exchange/@signalapp@mastodon.world,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/366/312/797/180/392/original/8d10999395fef239.jpeg
erosalie@infosec.exchange,true,false,,E Rosalie :verified:,<p>Public health + national security | Johns Hopkins alum | COVID19Tracking alum | Tracking medical misinfo 💉 and information disorder</p>,https://infosec.exchange/@erosalie,https://infosec.exchange/@erosalie,https://infosec.exchange/@erosalie,https://media.infosec.exchange/infosecmediaeu/accounts/avatars/109/316/938/934/089/780/original/6bb2f2e0d1ded004.jpg
Bellingcat@mstdn.social,true,false,,Bellingcat,"<p>Want to support our charity? <a href=""http://bellingcat.com/donate/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">bellingcat.com/donate/</span><span class=""invisible""></span></a></p><p>Buy our book ""We Are Bellingcat"" here: <a href=""http://bit.ly/2EP09EN"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">bit.ly/2EP09EN</span><span class=""invisible""></span></a></p><p>Our award-winning podcast series: <a href=""http://apple.co/36LJURI"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">apple.co/36LJURI</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@Bellingcat@mstdn.social,https://mstdn.social/@Bellingcat,https://infosec.exchange/@Bellingcat@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/303/191/504/446/267/original/d1b64d3d623de7d0.png
normative@mastodon.social,true,false,,Julian Sanchez,"<p>He sits motionless, like a spider in the center of its web, but that web has a thousand radiations, and he knows well every quiver of each of them.</p>",https://infosec.exchange/@normative@mastodon.social,https://mastodon.social/@normative,https://infosec.exchange/@normative@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/300/254/531/064/891/original/0be658a87795e268.jpg
NatlSecCnslrs@mstdn.social,true,false,,National Security Counselors🕵,<p>Mastodon version of the Twitter account by the same name. Public interest law firm for natsec &amp; info/privacy law. kel at nationalsecuritylaw dot org. </p><p>Charitable tax-exempt donations always welcome; see below links.</p>,https://infosec.exchange/@NatlSecCnslrs@mstdn.social,https://mstdn.social/@NatlSecCnslrs,https://infosec.exchange/@NatlSecCnslrs@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/296/667/736/673/674/original/c1cfb64500140c09.jpg
NatSecBec@mstdn.social,true,false,,Becca,<p>Security Policy Studies @ GW</p>,https://infosec.exchange/@NatSecBec@mstdn.social,https://mstdn.social/@NatSecBec,https://infosec.exchange/@NatSecBec@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/291/993/029/149/968/original/9dd25df08ea32e67.png
ABateman@toot.community,true,false,,Aaron Bateman,"<p>Assist. prof. @ George Washington University | Space Policy Institute | PhD @Johns Hopkins University | Former US Air Force | <a href=""https://toot.community/tags/Cold"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Cold</span></a> War | Transatlantic relations| <a href=""https://toot.community/tags/Intelligence"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Intelligence</span></a> | <a href=""https://toot.community/tags/Tech"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Tech</span></a> history| <a href=""https://toot.community/tags/Space"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Space</span></a> 🚀| my views </p>",https://infosec.exchange/@ABateman@toot.community,https://toot.community/@ABateman,https://infosec.exchange/@ABateman@toot.community,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/291/878/389/307/824/original/c173516f92559ed1.png
maxWSmeets@infosec.exchange,true,false,,Max Smeets,"<p>Senior Researcher ETH Zurich, Director European Cyber Conflict Research Initiative</p><p>Author of No Shortcuts: Why States Struggle to Develop a Military Cyber-Force- shorturl.at/kMNZ9</p>",https://infosec.exchange/@maxWSmeets,https://infosec.exchange/@maxWSmeets,https://infosec.exchange/@maxWSmeets,https://media.infosec.exchange/infosecmediaeu/accounts/avatars/109/291/582/521/565/657/original/374b7b6898d586e9.jpg
