Account address,Show boosts,Notify on new posts,Languages,Display name,Bio,Local URL,URL,Local URL,Avatar URL
NoahCarver@c.im,true,false,,Noah Carver 👨🏼‍🦯🇺🇦,"<p><a href=""https://c.im/tags/Blind"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Blind</span></a> vocalist, skier and <a href=""https://c.im/tags/a11y"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>a11y</span></a> / <a href=""https://c.im/tags/accessibility"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>accessibility</span></a> enthusiast studying voice at Eastman School of <a href=""https://c.im/tags/Music"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Music</span></a>. Advocate for <a href=""https://c.im/tags/Braille"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Braille</span></a>&amp; <a href=""https://c.im/tags/MusicBraille"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MusicBraille</span></a> / <a href=""https://c.im/tags/BrailleMusic"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BrailleMusic</span></a> availability as well as digital <a href=""https://c.im/tags/MusicNotation"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MusicNotation</span></a> software accessibility. Proud <a href=""https://c.im/tags/Maine"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Maine</span></a> islander. Words matter. Personal account; views expressed are my own and not affiliated with any institution, organization, employer, etc. Follows, reblogs, and favorites ≠ endorsements. Posts searchable via Tootfinder. 🌻 <a href=""https://c.im/tags/fedi22"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>fedi22</span></a></p>",https://infosec.exchange/@NoahCarver@c.im,https://c.im/@NoahCarver,https://infosec.exchange/@NoahCarver@c.im,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/111/704/578/036/282/405/original/46248425c075d3ec.jpg
FediTips@social.growyourown.services,true,false,,Fedi.Tips,"<p>Posting hints and tips about Mastodon and the Fediverse 🌍</p><p>There are lots of answers to common questions on my website at <a href=""https://fedi.tips"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">fedi.tips</span><span class=""invisible""></span></a>. If you can't find your answer @ or DM me, there's no such thing as a silly question!</p><p>I am a volunteer, you can buy me a coffee at <a href=""https://ko-fi.com/fedithing"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">ko-fi.com/fedithing</span><span class=""invisible""></span></a> or become a patron at <a href=""https://liberapay.com/FediThing"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">liberapay.com/FediThing</span><span class=""invisible""></span></a></p><p>Maintained by <span class=""h-card"" translate=""no""><a href=""https://social.chinwag.org/@FediThing"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>FediThing</span></a></span>, banner artwork is by <span class=""h-card"" translate=""no""><a href=""https://mastodon.art/@posiputt"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>posiputt</span></a></span></p><p>🎂 Account originally joined mstdn.social on 16th Nov 2020</p>",https://infosec.exchange/@FediTips@social.growyourown.services,https://social.growyourown.services/@FediTips,https://infosec.exchange/@FediTips@social.growyourown.services,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/111/591/593/486/739/092/original/8a999a353ad0eecf.png
nerdpyle@infosec.exchange,true,false,,nerdpyle,"<p>Principal PM. Former USMC 0341. Chicago Tavern style. You may know me from SMB, SR, SMS, DFSR, &amp; AD. Or not. I&#39;m me, not my employer. Rescue a dog. Be anti-racist</p>",https://infosec.exchange/@nerdpyle,https://infosec.exchange/@nerdpyle,https://infosec.exchange/@nerdpyle,https://media.infosec.exchange/infosec.exchange/accounts/avatars/110/770/228/560/255/331/original/0784b3de424a1842.png
fight@fightforthefuture.org,true,false,,Fight for the Future,<p>Digital rights are human rights. There's hardly anything as important as ensuring that our shared future has freedom of expression and creativity at its core.</p>,https://infosec.exchange/@fight@mastodon.fightforthefuture.org,https://mastodon.fightforthefuture.org/@fight,https://infosec.exchange/@fight@mastodon.fightforthefuture.org,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/110/741/327/128/947/866/original/29d11acd4727023a.jpg
gulovsen@mastodon.social,true,false,,Grant Gulovsen,"<p>Attorney in private practice and U.S. Army combat veteran</p><p>Admitted to practice in the State of Illinois, the U.S. Court of Appeals for the Seventh Circuit, and the U.S. District Courts for the Northern, Central and Southern Districts of Illinois</p><p>Former civil and commercial litigator currently advising technology startups</p><p><a href=""https://mastodon.social/tags/lawyer"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>lawyer</span></a> <a href=""https://mastodon.social/tags/attorney"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>attorney</span></a> <a href=""https://mastodon.social/tags/startup"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>startup</span></a> <a href=""https://mastodon.social/tags/tech"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>tech</span></a> <a href=""https://mastodon.social/tags/technology"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>technology</span></a> <a href=""https://mastodon.social/tags/law"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>law</span></a> <a href=""https://mastodon.social/tags/LawFedi"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>LawFedi</span></a></p>",https://infosec.exchange/@gulovsen@mastodon.social,https://mastodon.social/@gulovsen,https://infosec.exchange/@gulovsen@mastodon.social,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/110/523/466/723/732/135/original/3f4a7b80a5a5ca60.jpeg
davidpierce@mastodon.social,true,false,,David Pierce,<p>Editor-at-large at The Verge. Wearer of sweatpants. Drinker of coffee.</p>,https://infosec.exchange/@davidpierce@mastodon.social,https://mastodon.social/@davidpierce,https://infosec.exchange/@davidpierce@mastodon.social,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/110/305/095/731/549/200/original/9faa4000c2b4add0.jpg
arstechnica@mastodon.social,true,false,,Ars Technica,"<p>Original news, reviews, analysis of tech trends, and expert advice on the most fundamental aspects of tech.</p><p>Official Ars Technica account. 🟠</p>",https://infosec.exchange/@arstechnica@mastodon.social,https://mastodon.social/@arstechnica,https://infosec.exchange/@arstechnica@mastodon.social,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/110/271/386/454/330/109/original/62bce24edbc9120b.png
infin8x@mas.to,true,false,,Alex Mullans,,https://infosec.exchange/@infin8x@mas.to,https://mas.to/@infin8x,https://infosec.exchange/@infin8x@mas.to,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/110/158/336/215/752/989/original/66f60d94f8867f3f.jpg
evacide@hachyderm.io,true,false,,evacide,"<p>Director of Cybersecurity<br>@EFF<br>/ Co-founder of<br>@stopstalkerware<br>/ These are my opinions, not my employers’ / I did a TED talk once</p>",https://infosec.exchange/@evacide@hachyderm.io,https://hachyderm.io/@evacide,https://infosec.exchange/@evacide@hachyderm.io,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/110/023/569/759/039/387/original/31488250983aaa17.jpg
fotter179@kind.social,true,false,,Matus S,<p>Network plumber. Hiker. Glider pilot.<br>he/him</p>,https://infosec.exchange/@fotter179@kind.social,https://kind.social/@fotter179,https://infosec.exchange/@fotter179@kind.social,https://media.infosec.exchange/infosec.exchange/cache/accounts/avatars/110/016/223/010/605/556/original/87cdbac4dc0f3d5c.jpeg
