Account address,Show boosts,Notify on new posts,Languages,Display name,Bio,Local URL,URL,Local URL,Avatar URL
jeff@honeytree.social,true,false,,Jeff Brown,"<p>Founder and Managing Member Honeytree Technologies, LLC [ HoneyTreeTech.com ]</p><p>Also Exec. Chairman Fourth Estate PBC [ FourthEstate.org ]</p><p>---</p><p>3X Serial Entrepreneur | Greybeard Technologist | Angel Investor | Values Driven Mentor and Board Member</p><p>A startup and growth phase veteran, sometimes serial entrepreneur, occasional angel investor and values driven board member, with a near ideal geek to business ratio. </p><p>--</p><p>I code in dead languages (Perl)</p>",https://infosec.exchange/@jeff@honeytree.social,https://honeytree.social/@jeff,https://infosec.exchange/@jeff@honeytree.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/110/417/303/969/038/848/original/8d37fbe4764f109d.jpg
DemocracyMattersALot@mstdn.social,true,false,,Democracy Matters :verified:,"<p>Husband/father with faith that democracy is the way to go; still idealistic enough to believe it's achievable. The only thing I'm selling is democracy. Banned (3x!) by the fowl site for calling out GOP lies. Migrated from <span class=""h-card""><a href=""https://mstdn.party/@DemocracyMatters"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>DemocracyMatters</span></a></span>.</p><p><a href=""https://mstdn.social/tags/VoteBlue"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>VoteBlue</span></a> <a href=""https://mstdn.social/tags/TwitterRefugees"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>TwitterRefugees</span></a> <a href=""https://mstdn.social/tags/WashingtonDC"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>WashingtonDC</span></a> <a href=""https://mstdn.social/tags/FightFascism"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>FightFascism</span></a> <a href=""https://mstdn.social/tags/EndTheGOP"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>EndTheGOP</span></a></p>",https://infosec.exchange/@DemocracyMattersALot@mstdn.social,https://mstdn.social/@DemocracyMattersALot,https://infosec.exchange/@DemocracyMattersALot@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/824/850/101/448/421/original/d21fa119cf3e2282.png
jmcleod@mastodon.au,true,false,,MilennialZero,"<p>Living on unceded Wurundjeri land. Born on land belonging to the Cherokee. Naarm (Melbourne) is all I need. Retired enterprise architect, whatever that was. Cyclist (gravel preferred). Capitalism will kill us all. Interested in semiotics, whatever that is. Atheist. Social Democrat. Labor voter. ENTP. Love science. Stream MUBI. Observing the end of the Anthropocene with interest. Tends to be excessively analytical. The unexamined life is not worth living. Everything is political. Everything.</p>",https://infosec.exchange/@jmcleod@mastodon.au,https://mastodon.au/@jmcleod,https://infosec.exchange/@jmcleod@mastodon.au,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/814/263/557/803/958/original/646d579c0f72de33.jpg
AnneTheWriter1@universeodon.com,true,false,,AnneTheWriter,"<p>Staunch advocate for the Oxford comma.</p><p>She/Her <a href=""https://universeodon.com/tags/Politics"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Politics</span></a> <a href=""https://universeodon.com/tags/News"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>News</span></a> <a href=""https://universeodon.com/tags/VoteBlue"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>VoteBlue</span></a>💙<br><a href=""https://universeodon.com/tags/Genealogy"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Genealogy</span></a> <a href=""https://universeodon.com/tags/Genealogist"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Genealogist</span></a> <a href=""https://universeodon.com/tags/Ancestry"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Ancestry</span></a><br><a href=""https://universeodon.com/tags/Writing"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Writing</span></a> <a href=""https://universeodon.com/tags/Writer"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Writer</span></a> <a href=""https://universeodon.com/tags/Editor"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Editor</span></a> <a href=""https://universeodon.com/tags/Mystery"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Mystery</span></a> <a href=""https://universeodon.com/tags/WritingCommunity"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>WritingCommunity</span></a> <a href=""https://universeodon.com/tags/ScienceFiction"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>ScienceFiction</span></a><br><a href=""https://universeodon.com/tags/DCU"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>DCU</span></a> <a href=""https://universeodon.com/tags/ComicBooks"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>ComicBooks</span></a> <a href=""https://universeodon.com/tags/Superheroes"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Superheroes</span></a> <br><a href=""https://universeodon.com/tags/Humor"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Humor</span></a> <a href=""https://universeodon.com/tags/Humour"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Humour</span></a> <a href=""https://universeodon.com/tags/DogsOfMastodon"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>DogsOfMastodon</span></a><br><a href=""https://universeodon.com/tags/HootinTootinTuesday"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HootinTootinTuesday</span></a> </p><p>Genealogy Blog:<br><a href=""https://diggingintoyourfamilytree.wordpress.com/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">diggingintoyourfamilytree.word</span><span class=""invisible"">press.com/</span></a></p><p>Writing/Editing Blog:<br><a href=""https://annethewriter33.wordpress.com/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">annethewriter33.wordpress.com/</span><span class=""invisible""></span></a></p><p>Formerly known (on that other site) as:<br>AnneTheWriter1</p>",https://infosec.exchange/@AnneTheWriter1@universeodon.com,https://universeodon.com/@AnneTheWriter1,https://infosec.exchange/@AnneTheWriter1@universeodon.com,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/809/617/288/573/692/original/6053a9d8f55c9492.jpg
davidtoddmccarty@me.dm,true,false,,David Todd McCarty,"<p>Writer. Journalist. Raconteur.</p><p>I live in Cape May, New Jersey, USA, where I write about politics, culture, science, history, religion and travel. I look a bit like if Hagrid ate Harry. I hate bullies no matter what side they’re on. I'm kind, until you push me. Three kids. Seven grands. Running out of f*cks.</p><p>Phillies. Eagles. Liverpool.</p><p>There are some who call me—Tim.</p>",https://infosec.exchange/@davidtoddmccarty@me.dm,https://me.dm/@davidtoddmccarty,https://infosec.exchange/@davidtoddmccarty@me.dm,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/682/983/699/826/624/original/bc3efbc364965603.jpeg
DataDrivenMD@fedified.com,true,false,,Dr. Jorge Caballero,"<p>come for facts, stay for snark, &amp; wear a mask | immigrant | husband + dad | equity advocate | recovering healthtech exec/entrepreneur | infosec researcher | anesthesiologist | nerd 🤓 | <a href=""https://fedified.com/tags/BlackLivesMatter"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BlackLivesMatter</span></a> | <a href=""https://fedified.com/tags/StopAAPIHate"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>StopAAPIHate</span></a> | <a href=""https://fedified.com/tags/TwitterMigration"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>TwitterMigration</span></a> | <a href=""https://fedified.com/tags/ADHD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>ADHD</span></a></p><p>searchable</p>",https://infosec.exchange/@DataDrivenMD@fedified.com,https://fedified.com/@DataDrivenMD,https://infosec.exchange/@DataDrivenMD@fedified.com,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/641/427/144/338/363/original/b70119ad88172304.jpg
steveschmidtses@mastodon.world,true,false,,Steve Schmidt,<p>Subscribe to The Warning @ steveschmidt.substack.com</p>,https://infosec.exchange/@steveschmidtses@mastodon.world,https://mastodon.world/@steveschmidtses,https://infosec.exchange/@steveschmidtses@mastodon.world,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/591/651/959/704/430/original/a4477db9b2a034db.png
scottmacauley@universeodon.com,true,false,,Scott Macauley,"<p><a href=""https://universeodon.com/tags/Progressive"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Progressive</span></a> l#iberal <a href=""https://universeodon.com/tags/atheist"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>atheist</span></a> and <a href=""https://universeodon.com/tags/antitheist"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>antitheist</span></a>. He/him. BFA in <a href=""https://universeodon.com/tags/screenwriting"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>screenwriting</span></a>. <a href=""https://universeodon.com/tags/BLM"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BLM</span></a>. <a href=""https://universeodon.com/tags/Transrights"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Transrights</span></a> are <a href=""https://universeodon.com/tags/humanrights"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>humanrights</span></a>. <a href=""https://universeodon.com/tags/SlavaUkraini"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>SlavaUkraini</span></a></p>",https://infosec.exchange/@scottmacauley@universeodon.com,https://universeodon.com/@scottmacauley,https://infosec.exchange/@scottmacauley@universeodon.com,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/569/738/885/216/488/original/aacd89c68acdba7c.jpg
Rodney_Izzy@mstdn.social,true,false,,Izzy/Rod Ⓜ️ Ⓜ️,<p>Professional Democrat</p>,https://infosec.exchange/@Rodney_Izzy@mstdn.social,https://mstdn.social/@Rodney_Izzy,https://infosec.exchange/@Rodney_Izzy@mstdn.social,https://infosec.exchange/avatars/original/missing.png
memeorandum@universeodon.com,true,false,,memeorandum,"<p>What US political commentators are discussing online right now. Curated by algorithms, not humans!</p><p><a href=""https://universeodon.com/tags/searchable"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>searchable</span></a></p>",https://infosec.exchange/@memeorandum@universeodon.com,https://universeodon.com/@memeorandum,https://infosec.exchange/@memeorandum@universeodon.com,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/529/826/313/859/223/original/b3f28aa0e58a6820.png
