Account address,Show boosts,Notify on new posts,Languages,Display name,Bio,Local URL,URL,Local URL,Avatar URL
Rodney_Izzy@mstdn.social,true,false,,Izzy/Rod Ⓜ️ Ⓜ️,<p>Professional Democrat</p>,https://infosec.exchange/@Rodney_Izzy@mstdn.social,https://mstdn.social/@Rodney_Izzy,https://infosec.exchange/@Rodney_Izzy@mstdn.social,https://infosec.exchange/avatars/original/missing.png
NaomiNix@journa.host,true,false,,Naomi Nix,<p>I cover  Meta and other social media companies for The Washington Post</p>,https://infosec.exchange/@NaomiNix@journa.host,https://journa.host/@NaomiNix,https://infosec.exchange/@NaomiNix@journa.host,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/524/793/090/215/673/original/afd42f822bd66092.png
michaelludden@universeodon.com,true,false,,Michael Ludden :verified:,"<p>👶Father 🚀Futurist 🤓Nerd 🏀Dubs + 🏈🏀UCLA fan<br>📜Author 💻Technologist 🎙️Speaker 👨‍💻VP Marketing <br>@ChiselStrike +ex-Google, IBM, Samsung, Bose, HTC, etc.<br>I'm for ⏩ Progress 🌈 Inclusivity ⚖️ Justice 🟰Equality<br>I may not always agree with you, but I'm always listening<br>and I hope you are too</p>",https://infosec.exchange/@michaelludden@universeodon.com,https://universeodon.com/@michaelludden,https://infosec.exchange/@michaelludden@universeodon.com,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/524/194/290/115/432/original/50e3f7f10e18d803.jpg
acosta@mstdn.social,true,false,,Jim Acosta,"<p>Anchor at CNN, Journalist, Author of NYT bestseller: “The Enemy of the People.”</p>",https://infosec.exchange/@acosta@mstdn.social,https://mstdn.social/@acosta,https://infosec.exchange/@acosta@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/521/378/467/068/381/original/ebcba1de5db5e629.png
oneunderscore__@mastodon.social,true,false,,Ben Collins,"<p>Senior Reporter, Dystopia Beat, NBC News</p>",https://infosec.exchange/@oneunderscore__@mastodon.social,https://mastodon.social/@oneunderscore__,https://infosec.exchange/@oneunderscore__@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/520/512/409/350/950/original/5683ab1e1ad0f59f.jpeg
AVindman@thecooltable.wtf,true,false,,Alexander S. Vindman,"<p>Husband to @natsechobbyist. Veteran. NYT Best-selling Author. Ex NSC/ WH Staffer. Senior Advisor @VoteVets. Senior Fellow, FPI and Doctoral Candidate, SAIS, JHU.</p>",https://infosec.exchange/@AVindman@thecooltable.wtf,https://thecooltable.wtf/@AVindman,https://infosec.exchange/@AVindman@thecooltable.wtf,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/515/644/683/439/639/original/bbe950512191b731.jpeg
JxckS@mastodon.social,true,false,,Jack Sweeney,"<p>Aviation and Space JackHSweeney@protonmail.com <a href=""https://grndcntrl.net/links/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">grndcntrl.net/links/</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@JxckS@mastodon.social,https://mastodon.social/@JxckS,https://infosec.exchange/@JxckS@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/513/075/422/976/090/original/c2dbda7ae4aa79c7.jpg
elonjet@mastodon.social,true,false,,Elon Musk's Jet,"<p>Tracking Elon Musk's Private Jet (N628TS) with a bot using public ADS-B data <br>, contact <span class=""h-card"" translate=""no""><a href=""https://mastodon.social/@JxckS"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>JxckS</span></a></span></p><p> for inquiries <a href=""http://ElonJet.net"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">http://</span><span class="""">ElonJet.net</span><span class=""invisible""></span></a></p>",https://infosec.exchange/@elonjet@mastodon.social,https://mastodon.social/@elonjet,https://infosec.exchange/@elonjet@mastodon.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/513/032/929/077/799/original/e591aacf3350462b.png
BrettMeiselas@mstdn.social,true,false,,Brett Meiselas :verified:,<p>Cofounded MeidasTouch with my brothers. Maker of videos. Committed to doing my small part to try to save our country. Host of the MeidasTouch Podcast.</p>,https://infosec.exchange/@BrettMeiselas@mstdn.social,https://mstdn.social/@BrettMeiselas,https://infosec.exchange/@BrettMeiselas@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/455/869/124/474/868/original/f64aaac258c6095a.jpg
MeidasTori@mstdn.social,true,false,,MeidasTori,,https://infosec.exchange/@MeidasTori@mstdn.social,https://mstdn.social/@MeidasTori,https://infosec.exchange/@MeidasTori@mstdn.social,https://media.infosec.exchange/infosecmediaeu/cache/accounts/avatars/109/423/097/297/440/543/original/3483bb31c2d589d9.jpeg
